A,W,MT,ID
16,1,1935,4
16,1,1338,4
16,1,1407,4
16,1,2092,4
16,1,1282,4
32,1,2621,5
32,1,2036,5
32,1,1733,5
32,1,1776,5
32,1,1239,5
32,2,1317,4
32,2,1271,4
32,2,1204,4
32,2,1114,4
32,2,1475,4
8,4,908,2
8,4,1025,2
8,4,1033,2
8,4,923,2
8,4,856,2
8,1,1002,3
8,1,1270,3
8,1,1216,3
8,1,2655,3
8,1,1056,3
16,2,1924,3
16,2,1284,3
16,2,1843,3
16,2,1261,3
16,2,1620,3
32,4,1283,3
32,4,1054,3
32,4,1147,3
32,4,947,3
32,4,967,3
8,2,1068,2
8,2,1632,2
8,2,1856,2
8,2,2464,2
8,2,2328,2
16,4,1598,2
16,4,1450,2
16,4,1744,2
16,4,855,2
16,4,1305,2
