A,W,MT,ID
64,4,935,4
64,4,924,4
64,4,698,4
64,4,1104,4
64,4,893,4
64,2,1249,5
64,2,1193,5
64,2,1205,5
64,2,825,5
64,2,1116,5
16,2,971,3
16,2,903,3
16,2,815,3
16,2,687,3
16,2,745,3
64,1,1533,6
64,1,1101,6
64,1,1239,6
64,1,1200,6
64,1,1318,6
32,4,825,3
32,4,881,3
32,4,679,3
32,4,882,3
32,4,1429,3
32,1,887,5
32,1,909,5
32,1,0,5
32,1,1177,5
32,1,1089,5
16,1,672,4
16,1,957,4
16,1,749,4
16,1,812,4
16,1,609,4
32,2,745,4
32,2,858,4
32,2,927,4
32,2,729,4
32,2,789,4
16,4,589,2
16,4,570,2
16,4,562,2
16,4,552,2
16,4,710,2
256,64,595,2
256,64,983,2
256,64,890,2
256,64,886,2
256,64,634,2
256,64,930,2
256,64,704,2
256,64,795,2
256,64,773,2
128,16,1017,3
128,16,0,3
128,16,833,3
128,16,1156,3
128,16,1794,3
128,16,0,3
128,16,813,3
128,16,1166,3
128,16,1295,3
512,16,1346,5
512,16,2054,5
512,16,1441,5
512,16,1409,5
512,16,1420,5
512,16,1572,5
512,16,1296,5
512,16,1455,5
512,16,1720,5
512,32,1161,4
512,32,1304,4
512,32,1029,4
512,32,1136,4
512,32,989,4
512,32,1412,4
512,32,1093,4
512,32,1026,4
512,32,1069,4
